Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 16:32:34;FLWS.US;D;25;1.17;117;4.86
26.04.2021 16:32:37;TXG.US;D;25;9.53;953;4.86
26.04.2021 16:32:38;YI.US;D;25;1.15;115;8.98
26.04.2021 16:32:40;FCCY.US;D;25;0.68;68;3.6
26.04.2021 16:32:42;SRCE.US;D;25;1.23;123;2.59
26.04.2021 16:32:43;VNET.US;D;25;2.02;202;6.89
26.04.2021 16:32:46;XXII.US;D;25;0.35;35;6.26
26.04.2021 16:32:56;TWOU.US;D;25;1.88;188;4.57
26.04.2021 16:32:58;QFIN.US;D;25;2.25;225;8.32
26.04.2021 16:32:59;PRNT.US;D;25;0.94;94;2.4
26.04.2021 16:33:03;DDD.US;D;25;1.96;196;8.75
26.04.2021 16:33:09;MMM.US;D;25;2.46;246;1.22
26.04.2021 16:33:11;FDMT.US;D;25;3.35;335;9.79
26.04.2021 16:33:15;JOBS.US;D;25;1.51;151;2.41
26.04.2021 16:33:24;EGHT.US;D;25;1.15;115;3.33
26.04.2021 16:33:25;MASS.US;D;25;3.26;326;6.15
26.04.2021 16:33:29;JFU.US;D;25;0.16;16;10.88
26.04.2021 16:33:31;YOLO.US;D;25;0.85;85;3.98
26.04.2021 16:33:36;ATEN.US;D;25;0.38;38;4.03
26.04.2021 16:33:39;AAON.US;D;25;1.64;164;2.34
26.04.2021 16:33:42;AIR.US;D;25;1.61;161;3.94
26.04.2021 16:33:45;AAN.US;D;25;1.04;104;4.04
26.04.2021 16:33:47;ABB.US;D;25;0.38;38;1.16
26.04.2021 16:33:49;ABT.US;D;25;2.2;220;1.79
26.04.2021 16:33:56;ABBV.US;D;25;1.78;178;1.6
26.04.2021 16:33:57;ABCL.US;D;25;2.78;278;9.47
26.04.2021 16:34:00;ABEO.US;D;25;0.14;14;8.43
26.04.2021 16:34:05;SGOL.US;D;25;0.12;12;0.7
26.04.2021 16:34:08;ASGI.US;D;25;0.55;55;2.65
26.04.2021 16:34:10;ANF.US;D;25;1.69;169;4.26
26.04.2021 16:34:13;FAX.US;D;25;0.06;6;1.41
26.04.2021 16:34:16;PPLT.US;D;25;2.03;203;1.75
26.04.2021 16:34:19;GLTR.US;D;25;0.71;71;0.72
26.04.2021 16:34:23;SIVR.US;D;25;0.31;31;1.23
26.04.2021 16:34:27;PALL.US;D;25;3.28;328;1.2
26.04.2021 16:34:30;ABMD.US;D;25;8.48;848;2.41
26.04.2021 16:34:38;ABM.US;D;25;1.33;133;2.48
26.04.2021 16:34:41;AXAS.US;D;25;0.25;25;12.14
26.04.2021 16:34:44;ABTX.US;D;25;1.45;145;3.55
26.04.2021 16:34:48;ABUS.US;D;25;0.17;17;5.25
26.04.2021 16:34:52;AC.US;D;25;1.16;116;3.31
26.04.2021 16:34:54;ACTG.US;D;25;0.35;35;5.98
26.04.2021 16:34:59;ACHC.US;D;25;1.97;197;3.14
26.04.2021 16:35:02;ACAD.US;D;25;0.94;94;4.55
26.04.2021 16:35:07;AKR.US;D;25;0.58;58;2.77
26.04.2021 16:35:11;ACBI.US;D;25;0.92;92;3.42
26.04.2021 16:35:14;AXDX.US;D;25;0.45;45;5.71
26.04.2021 16:35:17;XLRN.US;D;25;5.08;508;4.15
26.04.2021 16:35:22;ACN.US;D;25;3.7;370;1.27
26.04.2021 16:35:25;ACCO.US;D;25;0.28;28;3.23
26.04.2021 16:35:25;ACCD.US;D;25;2.41;241;4.94
26.04.2021 16:35:27;ARAY.US;D;25;0.2;20;3.72
