Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 23:03:40;FLWS.US;MN;48;3.69;369;15.19
26.04.2021 23:03:41;TXG.US;MN;16;24.79;2479;12.25
26.04.2021 23:03:42;YI.US;MN;6;8.94;894;72.33
26.04.2021 23:03:42;GOED.US;MN;9;3.94;394;54.72
26.04.2021 23:03:42;FCCY.US;MN;48;2.39;239;12.71
26.04.2021 23:03:43;SRCE.US;MN;48;5.99;599;12.59
26.04.2021 23:03:43;VNET.US;MN;4;10.32;1032;34.16
26.04.2021 23:03:44;XXII.US;MN;4;1.49;149;27.64
26.04.2021 23:03:44;TWOU.US;MN;4;12.88;1288;30.36
26.04.2021 23:03:45;QFIN.US;MN;8;5.61;561;19.99
26.04.2021 23:03:46;PRNT.US;MN;8;5.26;526;13.21
26.04.2021 23:03:46;DDD.US;MN;12;6.53;653;28.21
26.04.2021 23:03:47;MMM.US;MN;12;18.72;1872;9.38
26.04.2021 23:03:47;FDMT.US;MN;5;9.38;938;25.48
26.04.2021 23:03:48;JOBS.US;MN;12;9.56;956;15.24
26.04.2021 23:03:49;EGHT.US;MN;12;5.07;507;14.55
26.04.2021 23:03:54;MASS.US;MN;5;14.16;1416;26.02
26.04.2021 23:03:55;JFU.US;MN;8;0.97;97;61.01
26.04.2021 23:03:55;YOLO.US;MN;5;4.88;488;22.67
26.04.2021 23:03:56;ATEN.US;MN;12;1.56;156;16.32
26.04.2021 23:03:57;AAON.US;MN;12;8.68;868;12.66
26.04.2021 23:03:57;AIR.US;MN;12;6.78;678;16.84
26.04.2021 23:03:58;AAN.US;MN;12;9.17;917;34.7
26.04.2021 23:03:58;ABB.US;MN;6;1.67;167;5.1
26.04.2021 23:03:59;ABT.US;MN;12;11.04;1104;9.01
26.04.2021 23:03:59;ABBV.US;MN;12;10.07;1007;9.05
26.04.2021 23:04:00;ABCL.US;MN;5;15.59;1559;49.34
26.04.2021 23:04:01;ABEO.US;MN;12;0.94;94;54.97
26.04.2021 23:04:02;SGOL.US;MN;12;1.2;120;7.02
26.04.2021 23:04:02;ASGI.US;MN;10;1.55;155;7.75
26.04.2021 23:04:03;ANF.US;MN;12;5.0;500;13.21
26.04.2021 23:04:03;FAX.US;MN;12;0.32;32;7.46
26.04.2021 23:04:04;PPLT.US;MN;12;10.99;1099;9.43
26.04.2021 23:04:05;GLTR.US;MN;12;7.63;763;7.77
26.04.2021 23:04:05;SIVR.US;MN;12;3.5;350;13.84
26.04.2021 23:04:06;PALL.US;MN;12;27.14;2714;9.92
26.04.2021 23:04:06;ABMD.US;MN;12;45.95;4595;13.2
26.04.2021 23:04:07;ABM.US;MN;12;7.12;712;13.38
26.04.2021 23:04:08;AXAS.US;MN;12;0.86;86;39.45
26.04.2021 23:04:08;ABTX.US;MN;12;4.31;431;10.61
26.04.2021 23:04:09;ABUS.US;MN;12;1.76;176;53.66
26.04.2021 23:04:09;AC.US;MN;12;5.33;533;15.18
26.04.2021 23:04:10;ACTG.US;MN;12;1.11;111;18.17
26.04.2021 23:04:11;ACHC.US;MN;12;7.39;739;11.98
26.04.2021 23:04:12;ACAD.US;MN;12;10.92;1092;51.15
26.04.2021 23:04:12;AKR.US;MN;12;3.56;356;17.11
