Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 20:15:53;FLWS.US;W;48;3.29;329;13.46
26.04.2021 20:15:54;TXG.US;W;25;19.95;1995;9.97
26.04.2021 20:15:54;YI.US;W;24;4.13;413;33.8
26.04.2021 20:15:56;GOED.US;W;25;1.87;187;25.86
26.04.2021 20:15:57;FCCY.US;W;48;1.4;140;7.4
26.04.2021 20:15:58;SRCE.US;W;48;2.93;293;6.09
26.04.2021 20:15:58;VNET.US;W;26;4.47;447;14.8
26.04.2021 22:52:45;XXII.US;W;48;0.44;44;8.12
26.04.2021 20:16:02;TWOU.US;W;4;4.15;415;9.79
26.04.2021 20:16:03;QFIN.US;W;32;3.23;323;11.58
26.04.2021 20:16:03;PRNT.US;W;32;2.48;248;6.25
26.04.2021 20:16:04;DDD.US;W;48;3.72;372;15.9
26.04.2021 20:16:06;MMM.US;W;48;7.53;753;3.76
26.04.2021 20:16:11;FDMT.US;W;19;7.59;759;21.72
26.04.2021 20:16:12;JOBS.US;W;48;4.59;459;7.34
26.04.2021 20:16:16;EGHT.US;W;48;2.46;246;7.04
26.04.2021 20:16:16;MASS.US;W;19;12.28;1228;22.68
26.04.2021 20:16:18;JFU.US;W;33;0.47;47;30.13
26.04.2021 20:16:18;YOLO.US;W;21;2.67;267;12.43
26.04.2021 20:16:19;ATEN.US;W;48;0.86;86;8.97
26.04.2021 20:16:21;AAON.US;W;48;4.11;411;5.97
26.04.2021 20:16:22;AIR.US;W;48;3.09;309;7.67
26.04.2021 20:16:24;AAN.US;W;48;3.93;393;14.69
26.04.2021 20:16:25;ABB.US;W;24;1.06;106;3.25
26.04.2021 20:16:26;ABT.US;W;48;5.3;530;4.32
26.04.2021 20:16:29;ABBV.US;W;48;4.81;481;4.31
26.04.2021 20:16:29;ABCL.US;W;20;8.31;831;27.24
26.04.2021 20:16:31;ABEO.US;W;48;0.41;41;23.98
26.04.2021 20:16:33;SGOL.US;W;48;0.53;53;3.1
26.04.2021 20:16:33;ASGI.US;W;40;0.83;83;4.08
26.04.2021 20:16:35;ANF.US;W;48;2.27;227;5.97
26.04.2021 20:16:36;FAX.US;W;48;0.14;14;3.28
26.04.2021 20:16:38;PPLT.US;W;48;5.59;559;4.81
26.04.2021 20:16:40;GLTR.US;W;48;3.42;342;3.48
26.04.2021 20:16:41;SIVR.US;W;48;1.61;161;6.38
26.04.2021 20:16:43;PALL.US;W;48;12.6;1260;4.64
26.04.2021 20:16:44;ABMD.US;W;48;23.28;2328;6.67
26.04.2021 20:16:46;ABM.US;W;48;3.14;314;5.86
26.04.2021 20:16:48;AXAS.US;W;48;0.38;38;17.19
26.04.2021 20:16:50;ABTX.US;W;48;2.6;260;6.33
26.04.2021 20:16:51;ABUS.US;W;48;0.73;73;21.79
26.04.2021 20:16:53;AC.US;W;48;3.0;300;8.55
26.04.2021 20:16:54;ACTG.US;W;48;0.62;62;10.18
26.04.2021 20:16:56;ACHC.US;W;48;3.34;334;5.36
26.04.2021 20:16:57;ACAD.US;W;48;4.52;452;21.23
26.04.2021 20:16:59;AKR.US;W;48;1.44;144;6.88
26.04.2021 20:17:00;ACBI.US;W;48;1.49;149;5.49
26.04.2021 20:17:02;AXDX.US;W;48;1.82;182;22.58
26.04.2021 20:17:03;XLRN.US;W;48;10.73;1073;8.51
26.04.2021 20:17:05;ACN.US;W;48;10.46;1046;3.61
26.04.2021 20:17:07;ACCO.US;W;48;0.71;71;8.29
26.04.2021 20:17:07;ACCD.US;W;29;8.0;800;16.47
26.04.2021 20:17:08;ARAY.US;W;48;0.47;47;8.48
26.04.2021 20:17:09;ACEV.US;W;16;0.78;78;7.8
26.04.2021 20:17:10;ACRX.US;W;48;0.33;33;24.44
26.04.2021 20:17:11;AKAOQ.US;W;48;0.01;1;50.0
26.04.2021 20:17:12;ACHV.US;W;36;1.69;169;14.85
26.04.2021 20:17:13;ACIW.US;W;48;2.48;248;6.05
26.04.2021 20:17:15;ACMR.US;W;41;13.99;1399;16.45
26.04.2021 20:17:17;ACU.US;W;48;3.1;310;6.99
26.04.2021 20:17:19;ACNB.US;W;48;2.44;244;8.8
26.04.2021 20:17:20;ACOR.US;W;48;0.47;47;9.94
26.04.2021 20:17:29;ATVI.US;W;48;5.03;503;5.38
26.04.2021 20:17:31;AYI.US;W;48;9.28;928;5.13
26.04.2021 20:17:32;GOLF.US;W;48;2.35;235;5.37
26.04.2021 20:17:33;AFIB.US;W;37;3.43;343;24.14
26.04.2021 20:17:35;ADMS.US;W;48;0.72;72;12.41
26.04.2021 20:17:35;ADMP.US;W;22;0.27;27;33.75
26.04.2021 20:17:37;ADX.US;W;48;0.55;55;2.87
26.04.2021 20:17:39;AE.US;W;48;2.83;283;10.57
26.04.2021 20:17:40;ADPT.US;W;48;6.08;608;13.79
26.04.2021 20:17:42;ADCT.US;W;48;5.64;564;21.95
26.04.2021 20:17:44;ADUS.US;W;48;8.24;824;7.6
26.04.2021 20:17:45;AEY.US;W;48;0.45;45;21.63
26.04.2021 20:17:48;AGRO.US;W;48;0.54;54;5.99
26.04.2021 20:17:49;ADNT.US;W;48;3.36;336;6.91
26.04.2021 20:17:51;ADMA.US;W;48;0.39;39;20.53
26.04.2021 20:17:58;ADBE.US;W;48;30.38;3038;5.9
26.04.2021 20:18:00;ADT.US;W;48;0.95;95;9.94
26.04.2021 20:18:02;ATGE.US;W;48;2.65;265;6.71
26.04.2021 20:18:03;ADTN.US;W;48;1.3;130;7.3
26.04.2021 20:18:04;AEIS.US;W;48;7.84;784;6.54
26.04.2021 20:18:14;AMD.US;W;48;7.3;730;8.56
26.04.2021 20:18:15;HDGE.US;W;48;0.36;36;1.5
26.04.2021 20:18:17;AAP.US;W;48;9.66;966;4.91
26.04.2021 20:18:18;WMS.US;W;48;7.01;701;6.07
26.04.2021 20:18:20;ADES.US;W;48;0.52;52;10.57
26.04.2021 20:18:21;ASIX.US;W;48;1.89;189;6.47
26.04.2021 20:18:23;ADXS.US;W;48;0.14;14;27.45
26.04.2021 20:18:24;AVK.US;W;48;0.57;57;3.1
26.04.2021 20:18:26;ADVM.US;W;33;1.58;158;15.78
26.04.2021 20:18:27;AADR.US;W;48;2.42;242;3.65
26.04.2021 20:18:27;FWDB.US;W;44;0.13;13;0.5
26.04.2021 20:18:27;MINC.US;W;48;0.36;36;0.74
26.04.2021 20:18:29;ACM.US;W;48;3.14;314;4.63
26.04.2021 20:18:30;AEGN.US;W;48;1.59;159;5.17
26.04.2021 20:18:32;AEB.US;W;48;0.51;51;2.0
26.04.2021 20:18:33;AEHR.US;W;48;0.36;36;15.38
26.04.2021 20:18:35;AMTX.US;W;48;1.89;189;10.18
26.04.2021 20:18:37;AER.US;W;48;4.36;436;7.36
26.04.2021 20:18:39;AERI.US;W;48;1.76;176;9.81
26.04.2021 20:18:41;ACY.US;W;48;2.46;246;23.54
26.04.2021 20:18:43;AJRD.US;W;48;2.42;242;4.99
26.04.2021 20:18:45;AVAV.US;W;48;9.78;978;8.67
26.04.2021 20:18:45;ASLE.US;W;17;1.71;171;14.21
26.04.2021 20:18:47;AES.US;W;48;1.56;156;5.56
26.04.2021 20:18:48;AEZS.US;W;22;0.34;34;31.19
26.04.2021 20:18:50;AMG.US;W;48;6.76;676;4.28
26.04.2021 20:18:52;AFMD.US;W;48;0.85;85;7.43
26.04.2021 20:18:52;AFRM.US;W;16;18.1;1810;23.52
26.04.2021 20:18:54;AFI.US;W;48;0.8;80;13.99
26.04.2021 20:18:56;AFL.US;W;48;2.24;224;4.18
26.04.2021 20:18:57;MITTpB.US;W;48;1.19;119;4.82
26.04.2021 20:18:59;MITTpA.US;W;48;1.24;124;4.96
26.04.2021 20:19:00;MITT.US;W;48;0.55;55;14.36
26.04.2021 20:19:02;AGCO.US;W;48;6.84;684;4.38
26.04.2021 20:19:04;AGRX.US;W;48;0.35;35;18.13
26.04.2021 20:19:05;A.US;W;48;5.39;539;3.92
26.04.2021 20:19:07;AGYS.US;W;48;4.32;432;8.21
26.04.2021 20:19:09;AGIO.US;W;48;4.76;476;8.5
26.04.2021 20:19:10;AGLE.US;W;48;1.04;104;12.32
26.04.2021 20:19:12;AGNC.US;W;48;0.6;60;3.44
26.04.2021 20:19:14;AEM.US;W;48;5.16;516;7.85
26.04.2021 20:19:14;API.US;W;29;11.07;1107;19.16
26.04.2021 20:19:15;AGR.US;W;48;2.41;241;4.71
26.04.2021 20:19:17;ADC.US;W;48;3.91;391;5.48
26.04.2021 20:19:18;ALRN.US;W;48;0.32;32;25.2
26.04.2021 20:19:20;AIM.US;W;48;0.43;43;19.46
26.04.2021 20:19:22;AIRI.US;W;48;0.23;23;17.29
26.04.2021 20:19:24;AL.US;W;48;3.6;360;7.46
26.04.2021 20:19:26;APD.US;W;48;14.87;1487;5.13
26.04.2021 20:19:27;AIRT.US;W;48;3.19;319;14.29
26.04.2021 20:19:28;ATSG.US;W;48;1.96;196;7.2
26.04.2021 20:19:29;ABNB.US;W;21;26.76;2676;15.44
26.04.2021 20:19:29;EADSY.US;W;27;1.58;158;5.18
26.04.2021 20:19:31;AKAM.US;W;48;6.26;626;5.65
26.04.2021 20:19:32;AKBA.US;W;48;0.97;97;30.89
26.04.2021 20:19:33;AKTS.US;W;48;1.44;144;11.91
26.04.2021 20:19:35;ALG.US;W;48;8.71;871;5.48
26.04.2021 20:19:37;AGI.US;W;48;0.82;82;9.6
26.04.2021 20:19:38;ALRM.US;W;48;6.94;694;7.35
26.04.2021 20:19:40;ALK.US;W;48;4.75;475;6.86
26.04.2021 20:19:41;ALSK.US;W;48;0.18;18;5.47
26.04.2021 20:19:44;AIN.US;W;48;5.31;531;5.99
26.04.2021 20:19:45;ALB.US;W;48;11.11;1111;6.52
26.04.2021 20:19:46;ACI.US;W;29;1.27;127;6.97
26.04.2021 20:19:49;AA.US;W;48;2.45;245;6.66
26.04.2021 20:19:51;ALDX.US;W;48;1.37;137;12.76
26.04.2021 20:19:52;ENFR.US;W;48;0.83;83;4.64
