Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 15:24:06;MSNG;D;25;0.034;68;1.5
26.04.2021 15:24:07;AGRO;D;25;18.2;91;2.01
26.04.2021 15:24:08;ETLN;D;25;2.82;141;2.24
26.04.2021 15:24:21;FIVE;D;25;47.0;94;1.99
26.04.2021 15:24:22;GLTR;D;25;8.2;164;1.7
26.04.2021 15:24:23;MAIL;D;25;40.6;203;2.34
26.04.2021 15:24:23;MDMG;D;25;20.7;414;3.65
26.04.2021 15:24:24;OKEY;D;25;1.0;100;1.74
26.04.2021 15:24:25;OZON;D;25;189.5;379;3.86
26.04.2021 15:24:25;POGR;D;25;0.755;151;2.62
26.04.2021 15:24:28;POLY;D;4;36.7;367;2.21
26.04.2021 15:24:31;RAVN;D;25;0.8;16;2.76
26.04.2021 15:24:32;TCSG;D;25;173.2;866;3.88
26.04.2021 15:24:45;YNDX;D;25;117.0;585;2.55
26.04.2021 15:24:46;HHRU;D;25;137.6;688;5.09
26.04.2021 15:24:47;QIWI;D;25;20.0;40;2.48
26.04.2021 15:24:48;UNAC;D;25;0.0275;55;5.09
26.04.2021 15:24:49;ISKJ;D;25;1.17;117;3.26
26.04.2021 15:24:51;GEMA;D;25;13.0;26;1.92
26.04.2021 15:24:52;NAUK;D;25;4.0;20;1.96
26.04.2021 15:24:53;LIFE;D;25;0.16;32;2.62
26.04.2021 15:25:06;ALRS;D;25;2.48;248;2.18
26.04.2021 15:25:08;ALNU;D;25;800;4;1.22
26.04.2021 15:25:09;ACKO;D;25;0.3;15;4.89
26.04.2021 15:25:10;ABRD;D;25;4.0;8;1.96
26.04.2021 15:25:11;AVAN;D;25;50;10;4.44
26.04.2021 15:25:17;AKRN;D;25;96;48;1.55
26.04.2021 15:25:19;APTK;D;25;0.312;156;2.28
26.04.2021 15:25:21;ARSA;D;25;0.13;13;2.77
26.04.2021 15:25:24;ASSB;D;25;0.065;130;5.76
26.04.2021 15:25:25;AMEZ;D;25;0.48;96;4.8
26.04.2021 15:25:39;AFLT;D;25;1.26;63;1.91
