Дата времЎK;КоЎЕинструментЎЕТФ;Период;ПункЎЕШаЎЕ%;;;
26.04.2021 15:55:25;KGKCP;MN;12;11.4;57;22.27
26.04.2021 15:55:26;LSRG;MN;12;94.0;470;10.89
26.04.2021 15:55:27;LKOH;MN;12;713.5;1427;12.08
26.04.2021 15:55:28;LPSB;MN;12;1.45;29;16.76
26.04.2021 15:55:29;LVHK;MN;12;2.29;229;17.48
26.04.2021 15:55:30;LNZLP;MN;12;745;149;17.09
26.04.2021 15:55:32;LNZL;MN;12;2040;204;11.47
26.04.2021 15:55:32;LNTA;MN;12;34.7;347;14.7
26.04.2021 15:55:34;MVID;MN;12;97.4;974;13.85
26.04.2021 15:55:34;MGTSP;MN;12;196;98;10.08
26.04.2021 15:55:35;MGTS;MN;12;380;76;16.78
26.04.2021 15:55:35;CBOM;MN;12;0.446;446;6.42
26.04.2021 15:55:36;MAGN;MN;12;5.465;1093;7.65
26.04.2021 15:55:37;MRKZ;MN;12;0.0059;118;11.37
26.04.2021 15:55:38;MRKU;MN;12;0.0194;97;13.18
26.04.2021 15:55:38;MRKP;MN;12;0.0223;223;8.74
26.04.2021 15:55:39;MRKC;MN;12;0.0398;199;10.02
26.04.2021 15:55:40;MTSS;MN;12;21.75;435;6.74
26.04.2021 15:55:41;MAGE;MN;12;2.33;233;24.47
26.04.2021 15:55:42;MAGEP;MN;12;2.19;219;35.04
26.04.2021 15:55:43;MGNT;MN;12;559.5;1119;10.62
26.04.2021 15:55:44;MFGS;MN;12;65.0;130;19.64
26.04.2021 15:55:44;MFGSP;MN;12;42.5;85;14.76
26.04.2021 15:55:45;MTLR;MN;12;12.97;1297;16.42
26.04.2021 15:55:45;MTLRP;MN;12;13.4;268;16.47
26.04.2021 15:55:46;MRSB;MN;12;0.058;58;14.5
26.04.2021 15:55:47;MOEX;MN;12;17.66;1766;10.28
26.04.2021 15:55:48;MSTT;MN;12;22.25;445;20.49
26.04.2021 15:55:48;NKNC;MN;12;11.5;230;11.24
26.04.2021 15:55:49;NKNCP;MN;12;7.54;377;9.45
26.04.2021 15:55:49;NKHP;MN;12;58.0;116;15.8
26.04.2021 15:55:50;NLMK;MN;12;21.16;1058;7.54
26.04.2021 15:55:51;NMTP;MN;12;0.995;199;13.33
26.04.2021 15:55:51;NSVZ;MN;12;54.0;108;26.02
26.04.2021 15:55:52;NFAZ;MN;12;44.0;220;12.05
26.04.2021 15:55:53;NKSH;MN;12;3.34;167;14.46
26.04.2021 15:55:54;NVTK;MN;12;171.4;857;12.13
26.04.2021 15:55:55;UWGN;MN;12;38.0;380;34.8
26.04.2021 15:55:55;OGKB;MN;12;0.0823;823;9.82
26.04.2021 15:55:56;UCSS;MN;12;240;24;20.69
