Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 15:46:04;MSNG;W;48;0.084;168;3.72
26.04.2021 15:46:06;AGRO;W;48;38.8;194;4.29
26.04.2021 15:46:06;ETLN;W;48;6.18;309;4.9
26.04.2021 15:46:13;FIVE;W;48;173.0;346;7.33
26.04.2021 15:46:14;GLTR;W;27;21.3;426;4.42
26.04.2021 15:46:15;MAIL;W;44;120.0;600;6.94
26.04.2021 15:46:15;MDMG;W;25;33.8;676;5.88
26.04.2021 15:46:15;OKEY;W;20;2.8;280;4.87
26.04.2021 15:46:16;OZON;W;23;534.0;1068;10.87
26.04.2021 15:46:16;POGR;W;45;2.945;589;10.25
26.04.2021 15:46:24;POLY;W;48;130.8;1308;7.85
26.04.2021 15:46:25;RAVN;W;48;2.4;48;8.28
26.04.2021 15:46:26;TCSG;W;48;277.8;1389;6.19
26.04.2021 15:46:33;YNDX;W;48;335.6;1678;7.32
26.04.2021 15:46:33;HHRU;W;32;208.8;1044;7.73
26.04.2021 15:46:34;QIWI;W;48;92.5;185;11.5
26.04.2021 15:46:35;UNAC;W;48;0.0325;65;6.02
26.04.2021 15:46:36;ISKJ;W;48;3.67;367;10.21
26.04.2021 15:46:37;GEMA;W;48;32.5;65;4.8
26.04.2021 15:46:38;NAUK;W;48;14.0;70;6.86
26.04.2021 15:46:39;LIFE;W;48;0.5;100;8.13
26.04.2021 15:46:46;ALRS;W;48;4.95;495;4.34
26.04.2021 15:46:48;ALNU;W;48;2200;11;3.36
26.04.2021 15:46:48;ACKO;W;20;0.66;33;10.75
26.04.2021 15:46:49;ABRD;W;48;19.0;38;9.29
26.04.2021 15:46:50;AVAN;W;48;90;18;8.0
26.04.2021 15:46:54;AKRN;W;48;212;106;3.42
26.04.2021 15:46:56;APTK;W;48;0.538;269;3.93
26.04.2021 15:46:57;ARSA;W;48;0.29;29;6.18
26.04.2021 15:46:58;ASSB;W;48;0.07;140;6.2
26.04.2021 15:46:59;AMEZ;W;48;0.625;125;6.25
26.04.2021 15:47:07;AFLT;W;48;4.88;244;7.4
26.04.2021 15:47:08;BSPB;W;48;2.67;267;4.07
26.04.2021 15:47:09;BISVP;W;48;0.79;79;8.32
26.04.2021 15:47:14;BANE;W;48;78.5;157;4.91
26.04.2021 15:47:23;BANEP;W;48;47.0;94;3.92
26.04.2021 15:47:24;BLNG;W;48;0.544;272;7.9
26.04.2021 15:47:25;BELU;W;48;334;334;9.31
26.04.2021 15:47:26;ALBK;W;48;6.5;13;10.74
26.04.2021 15:47:27;BRZL;W;48;99;99;7.48
26.04.2021 15:47:28;VSMO;W;48;1180;59;4.94
26.04.2021 15:47:42;VTBR;W;48;0.00194;388;3.77
26.04.2021 15:47:42;VLHZ;W;48;6.35;127;8.34
26.04.2021 15:47:43;VJGZ;W;48;237;237;12.16
26.04.2021 15:47:45;VJGZP;W;48;90;90;14.2
26.04.2021 15:47:46;VZRZP;W;48;19.0;95;7.14
26.04.2021 15:47:48;VGSB;W;48;0.57;114;14.77
26.04.2021 15:47:49;VGSBP;W;48;0.295;59;14.29
26.04.2021 15:47:49;VSYD;W;48;500;100;10.25
26.04.2021 15:47:50;VSYDP;W;48;520;26;10.74
26.04.2021 15:47:52;GAZA;W;48;28.5;57;6.2
26.04.2021 15:47:53;GAZAP;W;48;21.5;43;5.96
26.04.2021 15:48:00;GAZP;W;48;10.18;1018;4.36
26.04.2021 15:48:07;GMKN;W;48;1422;711;5.43
26.04.2021 15:48:08;GTRK;W;48;2.4;48;6.6
26.04.2021 15:48:09;RTGZ;W;48;3500;35;8.95
26.04.2021 15:48:10;SIBN;W;48;15.5;310;4.29
26.04.2021 15:48:11;HALS;W;48;123;123;12.76
26.04.2021 15:48:12;FESH;W;48;0.88;88;5.97
26.04.2021 15:48:13;DVEC;W;48;0.054;54;6.8
26.04.2021 15:48:14;DSKY;W;48;7.44;372;4.79
26.04.2021 15:48:16;DZRD;W;48;185;37;8.41
26.04.2021 15:48:17;DZRDP;W;48;130;13;6.84
26.04.2021 15:48:18;EELT;W;41;0.4;20;5.17
26.04.2021 15:48:19;ZVEZ;W;48;0.265;53;6.13
26.04.2021 15:48:21;ZILL;W;48;285;57;7.76
26.04.2021 15:48:22;DIOD;W;48;0.5;50;6.88
26.04.2021 15:48:23;RUSI;W;48;4.0;40;6.13
26.04.2021 15:48:24;INGR;W;48;63;63;3.94
26.04.2021 15:48:25;IRKT;W;48;2.18;109;8.52
26.04.2021 15:48:26;IGSTP;W;48;100;100;9.17
26.04.2021 15:48:27;IGST;W;48;118;118;10.02
26.04.2021 15:48:34;IRAO;W;48;0.274;548;5.31
26.04.2021 15:48:35;IRGZ;W;48;0.62;31;5.27
26.04.2021 15:48:37;KMAZ;W;48;4.2;42;5.98
26.04.2021 15:48:38;KMEZ;W;48;81.5;163;8.07
26.04.2021 15:48:39;KTSB;W;48;0.06;30;9.26
26.04.2021 15:48:41;KTSBP;W;48;0.0235;47;8.45
26.04.2021 15:48:42;KLSB;W;48;0.86;86;8.64
26.04.2021 15:48:43;KCHE;W;48;0.018;36;8.65
