Дата времЎK;КоЎЕинструментЎЕТФ;Период;ПункЎЕШаЎЕ%;;;
26.04.2021 15:17:23;AUM1;MN;9;0.0224;224;2.88
26.04.2021 15:17:23;CAM1;MN;9;0.0315;315;2.53
26.04.2021 15:17:24;EDM1;MN;12;0.0307;307;2.54
26.04.2021 15:17:25;EDU1;MN;5;0.0168;168;1.39
26.04.2021 15:17:26;EuM1;MN;12;5103;5103;5.59
26.04.2021 15:17:26;EuH2;MN;8;3173;3173;3.35
26.04.2021 15:17:26;EuU1;MN;12;3386;3386;3.66
26.04.2021 15:17:26;EuZ1;MN;11;3364;3364;3.6
26.04.2021 15:17:26;FSM1;MN;11;1019;1019;4.69
26.04.2021 15:17:26;FVM1;MN;5;2229;2229;9.68
26.04.2021 15:17:27;GDM1;MN;12;136.1;1361;7.68
26.04.2021 15:17:27;GDU1;MN;8;98.6;986;5.54
26.04.2021 15:17:27;GDZ1;MN;5;108.4;1084;6.01
26.04.2021 15:17:28;GKM1;MN;5;3105;3105;12.17
26.04.2021 15:17:29;GUM1;MN;11;0.035;350;2.52
26.04.2021 15:17:31;GZM1;MN;12;2105;2105;8.94
26.04.2021 15:17:31;GZU1;MN;8;2394;2394;10.48
26.04.2021 15:17:32;HYM1;MN;11;565;565;6.47
26.04.2021 15:17:32;IRM1;MN;5;4961;4961;9.8
26.04.2021 15:17:33;JPM1;MN;11;1.92;192;1.78
26.04.2021 15:17:34;LKM1;MN;12;6557;6557;11.0
26.04.2021 15:17:34;LKU1;MN;8;4803;4803;8.17
26.04.2021 15:17:35;MEM1;MN;11;1370;1370;8.3
26.04.2021 15:17:35;MFQ1;MN;6;0.03;3;0.03
26.04.2021 15:17:35;MGM1;MN;10;4071;4071;5.79
26.04.2021 15:17:35;MLM1;MN;5;1968;1968;11.27
26.04.2021 15:17:36;MMM1;MN;12;211.4;4228;5.95
26.04.2021 15:17:37;MMU1;MN;3;157.0;3140;4.44
26.04.2021 15:17:38;MNM1;MN;12;559;559;10.5
26.04.2021 15:17:39;MTM1;MN;12;2213;2213;6.81
26.04.2021 15:17:40;MXM1;MN;12;24375;975;6.86
26.04.2021 15:17:40;MXU1;MN;7;5425;217;1.53
26.04.2021 15:17:41;NGJ1;MN;12;0.528;528;19.48
26.04.2021 15:17:41;NGK1;MN;6;0.213;213;7.64
26.04.2021 15:17:41;NGM1;MN;5;0.182;182;6.38
26.04.2021 15:17:42;NKM1;MN;11;14818;14818;10.58
26.04.2021 15:17:43;NMM1;MN;12;1711;1711;6.18
26.04.2021 15:17:43;O2M1;MN;3;139;139;1.39
26.04.2021 15:17:43;OVM1;MN;9;395;395;3.81
26.04.2021 15:17:44;PDM1;MN;12;326.06;32606;11.41
26.04.2021 15:17:44;PDU1;MN;4;126.33;12633;4.37
26.04.2021 15:17:44;POM1;MN;4;2069;2069;12.6
26.04.2021 15:17:46;PTM1;MN;12;135.4;1354;10.9
26.04.2021 15:17:46;PTU1;MN;5;90.3;903;7.17
26.04.2021 15:17:46;PZM1;MN;9;18663;18663;12.68
26.04.2021 15:17:47;RIM1;MN;12;15530;1553;10.46
26.04.2021 15:17:47;RIH2;MN;12;10100;1010;6.98
26.04.2021 15:17:47;RIM2;MN;10;11080;1108;7.72
26.04.2021 15:17:47;RIU1;MN;12;12340;1234;8.45
26.04.2021 15:17:47;RIU2;MN;8;9740;974;6.91
26.04.2021 15:17:47;RIZ1;MN;12;13360;1336;9.22
26.04.2021 15:17:49;RNM1;MN;12;5906;5906;11.19
26.04.2021 15:17:49;RNU1;MN;6;2276;2276;4.3
26.04.2021 15:17:49;RRQ1;MN;8;0.1;10;0.11
26.04.2021 15:18:01;RTM1;MN;11;805;805;7.56
26.04.2021 15:18:02;SGM1;MN;11;2869;2869;6.6
26.04.2021 15:18:04;SNM1;MN;11;2732;2732;7.73
26.04.2021 15:18:05;SPM1;MN;11;1767;1767;6.64
26.04.2021 15:18:07;SRM1;MN;12;2778;2778;9.92
26.04.2021 15:18:07;SRU1;MN;8;2588;2588;9.17
26.04.2021 15:18:07;SRZ1;MN;5;2824;2824;9.84
26.04.2021 15:18:08;SVM1;MN;12;4.09;409;15.72
26.04.2021 15:18:09;SVU1;MN;8;3.4;340;12.94
26.04.2021 15:18:09;SVZ1;MN;5;2.97;297;11.24
26.04.2021 15:18:10;SiM1;MN;12;4704;4704;6.23
26.04.2021 15:18:09;SiH2;MN;12;4832;4832;6.16
26.04.2021 15:18:10;SiM2;MN;11;3487;3487;4.41
26.04.2021 15:18:11;SiU1;MN;12;4544;4544;5.94
26.04.2021 15:18:11;SiU2;MN;8;3470;3470;4.35
26.04.2021 15:18:11;SiZ1;MN;12;4628;4628;5.97
26.04.2021 15:18:11;SiZ2;MN;5;3327;3327;4.11
26.04.2021 15:18:11;TIM1;MN;9;5692;5692;12.73
26.04.2021 15:18:11;TNM1;MN;10;8446;8446;5.82
26.04.2021 15:18:12;TTM1;MN;11;5613;5613;9.85
26.04.2021 15:18:14;VBM1;MN;12;425;425;8.2
26.04.2021 15:18:00;VIK1;MN;8;4.15;83;13.5
26.04.2021 15:18:17;YNM1;MN;11;5900;5900;12.76
26.04.2021 15:18:20;AFM1;MN;11;943;943;14.18
26.04.2021 15:18:20;AKM1;MN;11;3935;3935;10.96
26.04.2021 15:18:23;ALM1;MN;12;1079;1079;9.42
26.04.2021 15:18:24;BRK1;MN;12;7.52;752;11.57
26.04.2021 15:18:24;BRM1;MN;12;5.26;526;8.17
26.04.2021 15:18:25;BRN1;MN;11;5.43;543;8.48
26.04.2021 15:18:25;BRQ1;MN;10;5.34;534;8.4
26.04.2021 15:18:25;BRU1;MN;9;5.09;509;8.04
26.04.2021 15:18:25;BRV1;MN;8;5.2;520;8.32
26.04.2021 15:18:25;BRX1;MN;7;4.86;486;7.74
26.04.2021 15:18:25;BRZ1;MN;6;4.66;466;7.5
26.04.2021 15:18:25;CFM1;MN;9;0.0202;202;2.21
26.04.2021 15:18:25;CHM1;MN;11;11037;11037;6.1
26.04.2021 15:18:26;CLK1;MN;12;8.37;837;13.7
