Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 15:09:09;AFM1;W;47;406;406;6.1
26.04.2021 15:09:10;AKM1;W;40;2243;2243;6.23
26.04.2021 15:09:19;ALM1;W;48;505;505;4.41
26.04.2021 15:09:21;AUM1;W;36;0.0162;162;2.08
26.04.2021 15:09:26;BRK1;W;48;3.52;352;5.41
26.04.2021 15:09:26;BRM1;W;48;2.75;275;4.26
26.04.2021 15:09:26;BRN1;W;45;2.63;263;4.11
26.04.2021 15:09:26;BRQ1;W;39;2.46;246;3.87
26.04.2021 15:09:27;BRU1;W;36;2.36;236;3.73
26.04.2021 15:09:28;BRV1;W;31;2.38;238;3.81
26.04.2021 15:09:28;BRX1;W;27;2.34;234;3.73
26.04.2021 15:09:28;BRZ1;W;22;2.84;284;4.57
26.04.2021 15:09:28;CAM1;W;37;0.0169;169;1.36
26.04.2021 15:09:29;CFM1;W;38;0.0113;113;1.24
26.04.2021 15:09:32;CHM1;W;40;6859;6859;3.79
26.04.2021 15:09:32;CLK1;W;44;3.56;356;5.83
26.04.2021 15:09:38;EDM1;W;48;0.0162;162;1.34
26.04.2021 15:09:38;EDU1;W;19;0.0112;112;0.92
26.04.2021 15:09:44;EuM1;W;48;2175;2175;2.38
26.04.2021 15:09:44;EuH2;W;33;1224;1224;1.29
26.04.2021 15:09:44;EuU1;W;48;1353;1353;1.46
26.04.2021 15:09:45;EuZ1;W;40;1538;1538;1.64
26.04.2021 15:09:46;FSM1;W;43;684;684;3.15
26.04.2021 15:09:46;FVM1;W;15;1107;1107;4.81
26.04.2021 15:09:51;GDM1;W;48;64.4;644;3.62
26.04.2021 15:09:53;GDU1;W;33;53.1;531;2.98
26.04.2021 15:09:52;GDZ1;W;22;57.3;573;3.18
26.04.2021 15:09:57;GKM1;W;19;1818;1818;7.13
26.04.2021 15:10:01;GUM1;W;46;0.0205;205;1.47
26.04.2021 15:10:07;GZM1;W;48;1003;1003;4.25
26.04.2021 15:10:07;GZU1;W;35;1021;1021;4.47
26.04.2021 15:10:13;HYM1;W;46;321;321;3.67
26.04.2021 15:10:14;IRM1;W;16;2394;2394;4.73
26.04.2021 15:10:15;JPM1;W;45;1.07;107;0.99
26.04.2021 15:10:21;LKM1;W;48;2784;2784;4.66
26.04.2021 15:10:22;LKU1;W;23;2169;2169;3.69
26.04.2021 15:10:27;MEM1;W;46;715;715;4.33
26.04.2021 15:10:26;MFQ1;W;8;0.02;2;0.02
26.04.2021 15:10:28;MGM1;W;39;2780;2780;3.95
26.04.2021 15:10:28;MLM1;W;20;1207;1207;6.91
26.04.2021 15:10:35;MMM1;W;48;100.05;2001;2.81
26.04.2021 15:10:35;MMU1;W;10;81.55;1631;2.31
26.04.2021 15:10:43;MNM1;W;48;261;261;4.9
26.04.2021 15:10:44;MTM1;W;48;1029;1029;3.17
26.04.2021 15:10:50;MXM1;W;48;11100;444;3.12
26.04.2021 15:10:50;MXU1;W;15;4300;172;1.21
26.04.2021 15:10:57;NGJ1;W;48;0.273;273;10.07
26.04.2021 15:10:57;NGK1;W;24;0.125;125;4.48
26.04.2021 15:10:57;NGM1;W;18;0.117;117;4.1
26.04.2021 15:10:59;NKM1;W;43;7540;7540;5.38
26.04.2021 15:11:03;NMM1;W;48;1137;1137;4.1
26.04.2021 15:11:03;O2M1;W;11;82;82;0.82
26.04.2021 15:11:03;OVM1;W;38;168;168;1.62
26.04.2021 15:11:09;PDM1;W;48;155.8;15580;5.42
26.04.2021 15:11:09;PDU1;W;11;91.76;9176;3.17
26.04.2021 15:11:09;POM1;W;17;1100;1100;6.7
26.04.2021 15:11:18;PTM1;W;48;72.9;729;5.84
26.04.2021 15:11:19;PTU1;W;21;41.0;410;3.22
26.04.2021 15:11:20;PZM1;W;38;9265;9265;6.25
26.04.2021 15:11:25;RIM1;W;48;6830;683;4.59
26.04.2021 15:11:25;RIH2;W;38;3010;301;2.08
26.04.2021 15:11:26;RIM2;W;33;3950;395;2.75
26.04.2021 15:11:27;RIU1;W;48;4950;495;3.39
26.04.2021 15:11:27;RIU2;W;29;1700;170;1.21
26.04.2021 15:11:29;RIZ1;W;48;5070;507;3.49
26.04.2021 15:11:35;RNM1;W;48;2269;2269;4.29
26.04.2021 15:11:36;RNU1;W;17;996;996;1.88
26.04.2021 15:11:36;RRQ1;W;16;0.05;5;0.05
26.04.2021 15:12:34;RTM1;W;45;435;435;4.08
26.04.2021 15:12:38;SGM1;W;46;1261;1261;2.9
26.04.2021 15:12:44;SNM1;W;46;1651;1651;4.67
26.04.2021 15:12:51;SPM1;W;47;982;982;3.68
26.04.2021 15:12:57;SRM1;W;48;1375;1375;4.91
26.04.2021 15:12:57;SRU1;W;35;1337;1337;4.73
26.04.2021 15:12:57;SRZ1;W;20;1265;1265;4.41
26.04.2021 15:13:03;SVM1;W;48;1.89;189;7.24
26.04.2021 15:13:03;SVU1;W;34;1.73;173;6.59
